"maprojid","geom"
"826RH-83","0101000020E6100000010000043E7E52C07C6F166964594440"
"856PW77137C","0101000020E6100000010080DE0E8052C017BC6E4BCA5B4440"
"846P-218MPRK","0103000020E6100000010000000C000000010000F0CC7B52C07EF02FB2CF4D44400100005CE87B52C039F16A12014E4440010000650C7C52C0D7D814B3D34D44400100006E037C52C0756983E2C24D4440010000A4FA7B52C0BA66EC06CD4D4440010000F9F07B52C02F65DC6DCF4D4440010000F1E97B52C0EBA0D107D14D444001000008E27B52C051D98829CF4D44400100000EDC7B52C0F3D598C2CC4D444001000003D87B52C0D7BD1F19D24D444001000036D27B52C033E50B39C84D4440010000F0CC7B52C07EF02FB2CF4D4440"
"846P-1VCMEMO","0101000020E6100000010080795C7952C0D2918D6E18724440"
"841HBM232029","0101000020E6100000010000399F7E52C010CDB46C165B4440"
"846P-413IDPK","0101000020E61000000100806AA17052C0D0AE341D36544440"
"856PW771C21","0101000020E61000000100802A3B8052C0DE4C4498415B4440"
"846P-408CPGA","0101000020E610000001000046817152C040331E3F835D4440"
"846P-1PELDOG","0101000020E6100000010000E3B07752C0CB06083D806D4440"
"846SANDY4-13","0101000020E61000000100005E1A7552C00F4F3B4A304A4440"
"856PW771C09","0101000020E61000000100802A3B8052C0DE4C4498415B4440"
"846P-400ZO19","0101000020E6100000010000D24A7652C032E9CAD14F5F4440"
"846P-104FISH","0101000020E610000001000045127852C0D3946646096C4440"
"846P-407VELO","0101000020E6100000010000BCCC7352C0D39E668C535F4440"
"846P-408CPPA","0101000020E610000001000063EC7052C01EAA18DA435E4440"
"846P-1PNYC02","0101000020E61000000100000AB77752C01BF9D272B8684440"
"846P-3ADVENT","0101000020E61000000100808B907E52C05AF586E7FE624440"
"846P-3CPFSS2","0101000020E61000000100000C187E52C0B5F47ACEE8624440"
"846SANDY4-17","0101000020E61000000100007F537552C06AA30B610E4A4440"
"846P-4BC94ST","0101000020E61000000100006D2A7452C0F2B2A30CAE4A4440"
"826RO-2","0101000020E610000001000018157552C0608BA37CCC4A4440"
"846P-109DRUN","0101000020E610000001000018127852C0220CB08CE3684440"
"846P-409MARD","0101000020E61000000100002BD17852C0A35C0EA986594440"
"846P-4SNDPIP","0101000020E6100000010000CBF87452C03A36E393404A4440"
"846P-218D17M","0101000020E6100000010000094B7B52C0291804C99D4D4440"
"846SANDY4-20","0101000020E6100000010000CBF87452C03A36E393404A4440"
"846P-112DRUN","0101000020E6100000010080BBDF7752C0D2779AA91D734440"
"826HP-244-L","0101000020E610000001008043847852C0956C5250CE664440"
"846P-3CENTRQ","0101000020E610000001000042B57D52C03C29669A8D634440"
"846P-5FRESHV","0101000020E6100000010000C49C8C52C07A837757CA474440"
"846P-103WPBC","0101000020E61000000100000FC17752C0F20F3D49286E4440"
"846P-415ENTR","0101000020E6100000010000386C7652C0A482E07C5B604440"
"846P-217TILD","0101000020E61000000100003F9C7B52C0C867D883ED524440"
"846P-415PAS2","0101000020E6100000010000E10E7652C0623602AB6A604440"
"846P-111BFIT","0101000020E6100000010000AF997752C0D7FDB25DF46C4440"
"846P-4PWOB01","0103000020E610000001000000050000000100000D797652C01BE86B7A1D5F444001008067717652C06A3BFC461E5F444001008016687652C026948A51FA5E4440010000466D7652C0C6734FBBEE5E44400100000D797652C01BE86B7A1D5F4440"
"856PW29380FC","0101000020E6100000010000081A8052C027E360DF8E5B4440"
"126PV205CHIL","0101000020E61000000100000C4B7852C03C78433A3C6E4440"
"846P-409FPDR","0101000020E6100000010000DC7D7552C0614BFE93F85A4440"
"846P-200PPBL","0101000020E61000000100006C6C7E52C008104931AF544440"
"826288CLOVE","0101000020E6100000010000B00F8852C064ACB30E01514440"
"846SANDY5-26","0101000020E6100000010080E3398C52C026F2EA5DFD414440"
"841HBMA4501B","0101000020E6100000010000C53E8052C0132CD6F6B8604440"
"846P-1FERRY6","0101000020E6100000010000F04B7552C06D6BB7F80A684440"
"846P-416DEVO","0101000020E6100000010000B6757652C01521EBC6925A4440"
"846P-3CENT03","0101000020E61000000100800C107E52C00CD161C365644440"
"850PV205ACAD","0101000020E6100000010000FEEF7752C0537A370C4C6E4440"
"801P-1ORCHPA","0101000020E610000001000060DE7252C0E958E289E06E4440"
"846P-503TLCH","0101000020E6100000010000CE497B52C0DB345C409D4D4440"
"846P-414RKSP","0101000020E61000000100007F537552C06AA30B610E4A4440"
"846P-415FMC2","0101000020E610000001008051B57552C003914791925E4440"
"846P-4QWCABR","0101000020E6100000010000C05C7652C036B8ED274D5F4440"
"846P-200PPBF","0101000020E61000000100006C6C7E52C008104931AF544440"
"846P-415WRLD","0101000020E61000000100002C1E7652C03199243D505E4440"
"846P-1FERRYA","0101000020E6100000010000F04B7552C06D6BB7F80A684440"
"846P-206RHSF","0101000020E61000000100008C778052C0283817EDDA554440"
"846P-5FRESHW","0101000020E6100000010000C49C8C52C07A837757CA474440"
"846P-111VCPE","0101000020E6100000010000807B7952C0FB80BFA5D8714440"
"846P-400ZOO5","0101000020E6100000010000DA517652C0A31804EC695F4440"
"846P-1BXPFIT","0101000020E6100000010000AF997752C0D7FDB25DF46C4440"
"038LBCENPH1","0101000020E6100000010000B4F77D52C08DD212FD0F564440"
"850P-1STARLP","0101000020E6100000010000F3727852C0964199FFBF6A4440"
"846P-409WHAL","0101000020E6100000010000535F7752C0E6F936840F594440"
"846P-108VCIW","0101000020E6100000010000D8337852C07C348C51C1724440"
"846P-1CROT30","0101000020E6100000010000D8527752C0B0778EA2CF674440"
"846P-2BRIGHM","0101000020E61000000100809E9E7B52C0B9590544BB4A4440"
"846P-312DMAR","0101000020E61000000100800EA77B52C08DD1126D476F4440"
"846P-4CUNPLG","0101000020E6100000010000C09D7152C03C90ED5B0B5D4440"
"846P-502CTPK","0101000020E6100000010000FBF48452C061B5D3B60F4A4440"
"846P-415WRD2","0101000020E6100000010000C3B37652C03CCB78B347614440"
"846P-1CROUL1","0101000020E6100000010080E26C7852C0746C8AED1F714440"
"846SANDY4-22","0101000020E610000001000072BB7452C012435154834A4440"
"846P-1FERY12","0101000020E6100000010000F04B7552C06D6BB7F80A684440"
"846P-414RBRR","0101000020E61000000100005E1A7552C00F4F3B4A304A4440"
"827S136-332M","0101000020E610000001000037F27852C04DB14937BB6B4440"
"846P-218SEBA","0101000020E610000001000069EB7A52C059662D9D6F4B4440"
"056PO79BMUPS","0101000020E61000000100007E1C8052C035B6899C295B4440"
"841HBK244120","0101000020E6100000010000A3F97D52C0297621A642544440"
"846P-218D17S","0101000020E610000001000065587B52C086CCDEC94A4C4440"
"850CO293SP","0101000020E6100000010000A4197B52C03B1C0937C6694440"
"826NC-UPGRD","0101000020E6100000010000DF827C52C0C49611DAC15D4440"
"846P-3CTYSTG","0101000020E61000000100806E177E52C0CF1E8FF0E8624440"
"846P-400ZO16","0101000020E610000001000098667652C0A627F1D3805F4440"
"841HBBA24138","0101000020E610000001008068187452C0BA84C97FD76E4440"
"806HAM24CHBR","0101000020E610000001000044607652C0E5E0EE4ADF684440"
"846P-3RVSSCA","0101000020E6100000010080841F7E52C01D1F762F0C674440"
"846P-1PNYR07","0101000020E6100000010000931E7852C095A7318DD36B4440"
"846P-415FOTF","0103000020E6100000010000000500000001000095E27552C0234D114EAF5F44400100009ABF7552C0C36DB901C95F4440010080E0BC7552C0D4B46BD1BF5F444001008070E17552C09F7AAC60AA5F444001000095E27552C0234D114EAF5F4440"
"846P-5FRESHX","0101000020E6100000010000C49C8C52C07A837757CA474440"
"846P-3CENT01","0101000020E6100000010000260D7E52C05E4DA5F4DE624440"
"846P-1PNYC04","0101000020E6100000010000D8527752C0B0778EA2CF674440"
"801SBSRELOCA","0101000020E610000001000064AE8052C0FE342D88D95A4440"
"846P-409SOB2","0101000020E6100000010000667B7552C0B8EC49DED45A4440"
"846P-5WPPLGR","0101000020E6100000010080E3398C52C026F2EA5DFD414440"
"846P-4911MEM","0101000020E610000001000020927752C0FA296E12F0594440"
"846P-3PNYC05","0101000020E6100000010080097E7C52C07226ACEE566C4440"
"850P-415PAS3","0101000020E610000001000066027652C08B73A42A52604440"
"846P-218D17F","0101000020E61000000100004AEC7A52C0DAFFD4586F4B4440"
"846P-200LONG","0101000020E61000000100006C6C7E52C008104931AF544440"
"846P-108SKTE","0101000020E61000000000004A847952C0F3D0DD4BA2714440"
"801BNYSANIND","0101000020E6100000010000DDBE7E52C000A6D8968F594440"
"846P-206RHBS","0101000020E6100000010000FA728052C064D642DB01564440"
