field_number,field_label,field_length,start_index,end_index,formatting
L1,Borough,1,1,1,Digit > 0
L2,Face Code,4,2,5,RJZF
L3,Sequence Number,5,6,10,RJZF
L4,Segment ID,7,11,17,RJZF
L5,5-Digit Street Code (5SC),5,18,22,RJZF
L6,LGC1,2,23,24,RJZF
L7,LGC2,2,25,26,RJZF - blank if none
L8,LGC3,2,27,28,RJZF - blank if none
L9,LGC4,2,29,30,RJZF - blank if none
L10,Board of Elections LGC Pointer,1,31,31,Blank if none
L11,From-Sectional Map,2,32,33,RJZF
L12,From-Node ID,7,34,40,RJZF
L13,From-X Coordinate,7,41,47,RJZF
L14,From-Y Coordinate,7,48,54,RJZF
L15,To-Sectional Map,2,55,56,RJZF
L16,To-Node ID,7,57,63,RJZF
L17,To-X Coordinate,7,64,70,RJZF
L18,To-Y Coordinate,7,71,77,RJZF
L19,Left 2000 Census Tract,6,78,83,See Sec. 1.4
L20,Left Dynamic Block,3,84,86,RJZF or blank if none
L21,Left Low House Number,7,87,93,See Sec. 1.4
L22,Left High House Number,7,94,100,See Sec. 1.4
L23,Left Dept of Sanitation Subsection,2,101,102,RJZF - blank if none
L24,Left Zip Code,5,103,107,Blank if none
L25,Left Assembly District,2,108,109,RJZF - blank if none
L26,Left Election District,3,110,112,RJZF - blank if none
L27,Left School District,2,113,114,RJZF - blank if none
L28,Right 2000 Census Tract,6,115,120,See Sec. 1.4
L29,Right Dynamic Block,3,121,123,RJZF - blank if none
L30,Right Low House Number,7,124,130,See Sec. 1.4
L31,Right High House Number,7,131,137,See Sec. 1.4
L32,Right Dept of Sanitation Subsection,2,138,139,RJZF - blank if none
L33,Right Zip Code,5,140,144,Blank if none
L34,Right Assembly District,2,145,146,RJZF - blank if none
L35,Right Election District,3,147,149,RJZF - blank if none
L36,Right School District,2,150,151,RJZF - blank if none
L37,Split Election District Flag,1,152,152,Blank if none
L38,Filler (formerly Split Community School District Flag),1,153,153,Blank
L39,Sanitation District Boundary Indicator,1,154,154,Blank if none
L40,Traffic Direction,1,155,155,Blank if none
L41,Segment Locational Status,1,156,156,Blank if none
L42,Feature Type Code,1,157,157,Blank if none
L43,Non-Pedestrian Flag,1,158,158,Blank if none
L44,Continuous Parity Indicator,1,159,159,Blank if none
L45,Filler (formerly the Near BQ-Boundary Flag),1,160,160,Blank
L46,Borough Boundary Indicator,1,161,161,Blank if none
L47,Twisted Parity Flag,1,162,162,Blank if none
L48,Special Address Flag,1,163,163,Blank if none
L49,Curve Flag,1,164,164,Blank if none
L50,Center of Curvature X-Coordinate,7,165,171,Leading zeros
L51,Center of Curvature Y-Coordinate,7,172,178,Leading zeros
L52,Segment Length in Feet,5,179,183,RJZF
L53,From Level Code,1,184,184,Character
L54,To Level Code,1,185,185,Character
L55,Traffic Direction Verification Flag,1,186,186,Blank if none
L56,Segment Type Code,1,187,187,Character
L57,Coincident Segment Counter,1,188,188,Integer > 0
L58,Include/Exclude Flag,1,189,189,Blank if none
L59,Roadway Type,2,190,191,Blank if none
L60,PHYSICALID,7,192,198,RJZF - blank if none
L61,GENERICID,7,199,205,RJZF - blank if none
L62,NYPDID,7,206,212,RJZF - blank if none
L63,FDNYID,7,213,219,RJZF - blank if none
L64,Filler (formerly Left BLOCKFACEID),7,220,226,RJZF - blank if none
L65,Filler (formerly Right BLOCKFACEID),7,227,233,RJZF - blank if none
L66,STATUS,1,234,234,Blank if none
L67,STREETWIDTH_MIN,3,235,237,Blank if none
L68,STREETWIDTH_IRR,1,238,238,Blank if none
L69_1,BIKELANE_1,1,239,239,Blank if none
L70,FCC,2,240,241,Blank if none
L71,Right of Way Type,1,242,242,Blank if none
L72,Left 2010 Census Tract,6,243,248,See Sec. 1.4
L73,Right 2010 Census Tract,6,249,254,See Sec. 1.4
L74,LGC5,2,255,256,01 to 99 or Blanks
L75,LGC6,2,257,258,01 to 99 or Blanks
L76,LGC7,2,259,260,01 to 99 or Blanks
L77,LGC8,2,261,262,01 to 99 or Blanks
L78,LGC9,2,263,264,01 to 99 or Blanks
L79,Legacy SEGMENTID,7,265,271,RJZFbut Shoreline 
L80,LEFT CENSUS BLOCK 2000 BASIC,4,272,275,RJSF
L81,LEFT CENSUS BLOCK 2000 SUFFIX,1,276,276,Blank if none
L82,RIGHT CENSUS BLOCK 2000 BASIC,4,277,280,RJSF
L83,RIGHT CENSUS BLOCK 2000 SUFFIX,1,281,281,Blank if none
L84,LEFT CENSUS BLOCK 2010 BASIC,4,282,285,RJSF
L85,LEFT CENSUS BLOCK 2010 SUFFIX,1,286,286,Blank if none
L86,RIGHT CENSUS BLOCK 2010 BASIC,4,287,290,RJSF
L87,RIGHT CENSUS BLOCK 2010 SUFFIX,1,291,291,Blank if none
L88,SNOW PRIORITY,1,292,292,Blank if none
L69_2,BIKELANE_2,2,293,294,RJSF 1-11 Blank if none
L67_2,STREET WIDTH MAX,3,295,297,RJSF - Blank if none
L89,Filler L89,3,298,300,
L90,Left BLOCKFACEID,10,301,310,RJZF - blank if none
L91,Right BLOCKFACEID,10,311,320,RJZF - blank if none
L92,NUMBER TRAVEL LANE,2,321,322,RJZF - blank if none
L93,NUMBER PARK LANES,2,323,324,RJSF
L94,NUMBER TOTAL LANES,2,325,326,RJSF
L95,BIKE TRAFFIC DIR,2,327,328,RJSF
L96,POSTED SPEED,2,329,330,RJSF
L97,Left NYPD Service Area,1,331,331,RJSF 
L98,Right NYPD Service Area,1,332,332,RJSF
L99,Truck Route Type,1,333,333,RJSF
L100,LEFT 2020 CENSUS TRACT,6,334,339,See Sec. 1.4 
L101,RIGHT 2020 CENSUS TRACT,6,340,345,See Sec. 1.4
L102,LEFT CENSUS BLOCK 2020 BASIC,4,346,349,RJSF
L103,LEFT CENSUS BLOCK 2020 SUFFIX,1,350,350,Blank if none
L104,RIGHT CENSUS BLOCK 2020 BASIC,4,351,354,RJSF
L105,RIGHT CENSUS BLOCK 2020 SUFFIX,1,355,355,Blank if none
L199,Filler L199,45,356,400,
